,Company Name,Listed,HQ Country,GICS Sector,Accounting Year End,Reported Scope 1 tCO2e,Estimated Scope 1 tCO2e,Scope 1 source,Scope 1 quality flag,Reported market-based Scope 2 tCO2e,Note,Reported location-based Scope 2 tCO2e,Estimated location-based Scope 2 tCO2e,Location-based Scope 2 source,Location-based Scope 2 quality flag,Scope 2 company comments,GHG revenue intensity tCO2e/mmUSD,Scope 2 figure used for intensity,amplification.wordsindex,DeAmplification.wordsindex,HE_negativeindex,HE_positiveindex,angerindex,anticipationindex,disgustindex,fearindex,joyindex,sadnessindex,surpriseindex,trustindex,LMnegativeindex,LMpositiveindex,LMuncertaintyindex,BasicNegativeWordsindex,PositivePolarisedindex,NegativePolarisedindex,PowerWordsindex,PrudentialNegativeindex,PrudentialPositiveindex,PrudentialTopNegativeindex,Strategyindex,Financial.termsindex,Regulationindex,Technologyindex,Healthcareindex,Environmentindex,Socialindex,Governanceindex,ESGindex,LMuncertaintyindex.1,Regulationindex.1,Environmentindex.1,Socialindex.1,Governanceindex.1,ESGindex.1,ISIN lower,2016vol,2017vol,2018vol,2019vol,VolFactor,Carbon Emission  tCO2e/mmUSD,Scope 1 tCO2e,Scope 2 tCO2e,Scope 1 and 2 tCO2e,Consumer Discretionary,Consumer Staples,Energy,Financials,Health Care,Industrials,Information Technology,Materials,Real Estate,Telecommunication Services,Utilities
1796,AMG Advanced Metallurgical Group NV,Yes,Netherlands,Materials,31/12/2016,183402.0,0.0,Reported: CDP (Reviewed),7.0,, NA ,395386.0,0.0,Reported: CDP (Reviewed),7.0,,595.98,Location-based,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.32,0.32,0.25,0.28,0.31,0.32,nl0000888691,0.022229702999999996,0.024513073,0.025582827000000002,0.032231908999999996,0.044611529000000004,595.9820831000001,183402.0,395386.0,578788.0,0,0,0,0,0,0,0,1,0,0,0
1797,Arcadis,Yes,Netherlands,Industrials,31/12/2016,13981.0,0.0,Reported: CDP (Not Reviewed),,"23,518.00",  ,25344.0,0.0,Reported: CDP (Not Reviewed),,,10.18,Market-based,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.32,0.32,0.25,0.28,0.31,0.32,nl0006237562,0.032508081,0.021351796,0.023165674,0.032023045,0.046616541,10.17783182,13981.0,25344.0,39325.0,0,0,0,0,0,1,0,0,0,0,0
1798,ASM International,Yes,Netherlands,Information Technology,31/12/2016,150.0,0.0,Reported: CDP (Not Reviewed),,, NA ,17031.0,0.0,Reported: CDP (Not Reviewed),,,25.96,Location-based,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.32,0.32,0.25,0.28,0.31,0.32,nl0000334118,0.017215069,0.014446436000000002,0.021387008,0.027999762999999997,0.072681704,25.96062314,150.0,17031.0,17181.0,0,0,0,0,0,0,1,0,0,0,0
1799,ASML Holding,Yes,Netherlands,Information Technology,31/12/2016,20400.0,0.0,Reported: CDP (Reviewed),7.0,"25,500.00",  ,0.0,16000.0,Estimated: IEA National Grid Emissions Factor applied to Reported SHEC.,5.0,including GO/REC  (excluding is 134600),6.1,Market-based,111,57,53,83,79,88,68,72,63,53,65,70,99,70,89,76,82,76,101,82,32,0,15,61,51,121,0,0,79,57,46,0.18,0.22,0.13,0.17,0.23,0.16,nl0010273215,0.015852948999999998,0.011877301000000002,0.018516526999999998,0.017189026,0.327819549,6.103187752,20400.0,16000.0,36400.0,0,0,0,0,0,0,1,0,0,0,0
1800,Royal BAM Group nv,Yes,Netherlands,Industrials,31/12/2016,165798.0,0.0,Reported: CDP (Not Reviewed),,"18,468.00",  ,40400.0,0.0,Reported: CDP (Not Reviewed),,"Note that BAM's 2016-2020 strategy is based on market-based scope 2 calculations, compared to 2012-2015 which was location based. Since all of BAM's initiatives run over the long term, the calculations for questions 3 remain partly location based.",23.86,Market-based,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.32,0.32,0.25,0.28,0.31,0.32,nl0000337319,0.022525464,0.019868818,0.019065963999999998,0.019702209,0.233834586,23.86441784,165798.0,40400.0,206198.0,0,0,0,0,0,1,0,0,0,0,0
1801,Delta Lloyd NV,Yes,Netherlands,Financials,31/12/2016,1394.0,0.0,Reported: CDP (Reviewed),7.0,, NA ,1737.0,0.0,Reported: CDP (Reviewed),7.0,,0.32,Location-based,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.32,0.32,0.25,0.28,0.31,0.32,nl0009294552,0.038407977999999995,,,,0.0,0.317314251,1394.0,1737.0,3131.0,0,0,0,1,0,0,0,0,0,0,0
1802,Koninklijke DSM,Yes,Netherlands,Materials,31/12/2016,970000.0,0.0,Reported: CDP (Reviewed),7.0,"470,000.00",  ,490000.0,0.0,Reported: CDP (Reviewed),7.0,2016 was the first year of market-based reporting.,164.27,Market-based,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.32,0.32,0.25,0.28,0.31,0.32,nl0000009827,0.014941446,0.010071100999999999,0.014155723,0.018600896999999998,0.272431078,164.2687985,970000.0,490000.0,1460000.0,0,0,0,0,0,0,0,1,0,0,0
1803,Grandvision NV,Yes,Netherlands,Consumer Discretionary,31/12/2016,56.0,0.0,Reported: CDP (Not Reviewed),,"2,633.00",  ,2436.0,0.0,Reported: DC (Reviewed),7.0,,0.73,Market-based,88,59,137,175,74,121,83,74,85,118,88,108,99,106,61,59,94,59,100,119,268,538,260,95,88,100,196,0,0,78,32,0.28,0.29,0.25,0.13,0.26,0.07,,,,,,0.0,0.732629675,56.0,2436.0,2492.0,1,0,0,0,0,0,0,0,0,0,0
1804,Heineken NV,Yes,Netherlands,Consumer Staples,31/12/2016,1058986.0,0.0,Reported: CDP (Reviewed),7.0,"513,112.00",  ,698679.0,0.0,Reported: CDP (Reviewed),7.0,"Market based values, where available, were used (see also the Heineken NV 2016 overview of environmental performance).",68.31,Market-based,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.32,0.32,0.25,0.28,0.31,0.32,nl0000009165,0.012611385,0.008148717,0.011070683000000001,0.012850665,0.510025063,68.31267351,1058986.0,698679.0,1757665.0,0,1,0,0,0,0,0,0,0,0,0
1805,Heineken Holding NV,Yes,Netherlands,Consumer Staples,31/12/2016,1059000.0,0.0,Reported: Company Filings (Reviewed),7.0,, NA ,0.0,2300000.0,Estimated: IEA National Grid Emissions Factor applied to Estimated SHEC.,4.0,,145.96,Location-based,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.32,0.32,0.25,0.28,0.31,0.32,nl0000008977,0.012494996999999999,0.008394156,0.011285777,0.012027675,0.544611529,145.95926609999998,1059000.0,2300000.0,3359000.0,0,1,0,0,0,0,0,0,0,0,0
1806,ING Group,Yes,Netherlands,Financials,31/12/2016,20139.0,0.0,Reported: CDP (Reviewed),7.0,"13,843.00",  ,111679.0,0.0,Reported: CDP (Reviewed),7.0,"The total carbon figure for Scope 2 displayed here is calculated using the GHG Protocol Market-based calculation method outlined within the Scope 2 Guidance. This method takes into account the use of renewable electricity with an emissions factor of 0 g CO2e/MWh. This sharp decrease in 2016 is thanks to a decrease in electricity consumption and an increase of renewable electricity purchased, in particular in Poland, meaning a shift from a heavy coal-mix in the grid. Using the Location-based method outlined within the Scope 2 Guidance, our scope 2 CO2e emissions for our base-year (2014) is 123 kilotonnes and for 2016 is 112 kilotonnes. This means that we have reduced our location-based scope 2 emissions by 9% since 2014. For more information on our calculation methodology and scope, please see our reporting protocol on ING.com.",0.62,Market-based,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.32,0.32,0.25,0.28,0.31,0.32,nl0011821202,0.023543985,0.011291943999999998,0.014339493,0.019275621,0.245614035,0.62034291,20139.0,111679.0,131818.0,0,0,0,1,0,0,0,0,0,0,0
1807,Koninklijke KPN NV (Royal KPN),Yes,Netherlands,Telecommunication Services,31/12/2016,27322.0,0.0,Reported: CDP (Reviewed),7.0, -   , -   ,0.0,380000.0,Estimated: IEA National Grid Emissions Factor applied to Reported SHEC.,5.0,All our electricity comes from renewable sources (wind/biomass) generated in the Netherlands so our scope 2 emissions are zero. We report our Scope 2 emissions market based.,3.63,Market-based,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.32,0.32,0.25,0.28,0.31,0.32,nl0000009082,0.016755021000000002,0.012423176999999999,0.014483083999999999,0.014247818,0.45839599,3.629590957,27322.0,380000.0,407322.0,0,0,0,0,0,0,0,0,0,1,0
1808,Philips Lighting,Yes,Netherlands,Industrials,31/12/2016,186577.0,0.0,Reported: CDP (Not Reviewed),,"87,776.00",  ,235908.0,0.0,Reported: CDP (Not Reviewed),,,34.84,Market-based,109,112,126,139,101,103,67,82,112,108,100,104,89,128,81,61,134,61,99,79,69,436,186,108,128,141,0,167,88,32,96,0.21,0.28,0.11,0.23,0.12,0.17,,,,,,0.0,34.83794533,186577.0,235908.0,422485.0,0,0,0,0,0,1,0,0,0,0,0
1809,LyondellBasell Industries N.V.,Yes,Netherlands,Materials,31/12/2016,13368000.0,0.0,Reported: CDP (Reviewed),7.0,"8,353,000.00",  ,8354000.0,0.0,Reported: CDP (Reviewed),7.0,Accounts for lower emission factors using market-based Approach.,744.3,Market-based,96,56,116,131,117,100,97,94,99,87,82,112,91,126,158,73,104,73,116,60,150,29,112,100,38,37,0,112,89,143,110,0.01,0.24,0.11,0.06,0.09,0.25,nl0009434992,0.018719295,0.012507908,0.016020025,0.017568287,0.312531328,744.3031902,13368000.0,8354000.0,21722000.0,0,0,0,0,0,0,0,1,0,0,0
1810,Nostrum Oil & Gas,Yes,Netherlands,Energy,31/12/2016,0.0,380000.0,Estimated: Oil & Gas Extraction,6.0,, NA ,0.0,81000.0,Estimated: Oil & Gas Extraction,6.0,,1324.79,Location-based,45,201,84,41,111,111,107,107,77,56,75,76,106,46,156,134,63,134,93,54,168,305,130,88,80,25,0,39,0,0,13,0.01,0.04,0.25,0.28,0.3,0.27,us66978b2034,,,,,0.0,1324.788781,380000.0,81000.0,461000.0,0,0,1,0,0,0,0,0,0,0,0
1811,NXP Semiconductors,Yes,Netherlands,Information Technology,31/12/2016,687150.0,0.0,Reported: CDP (Reviewed),7.0,, NA ,1021386.0,0.0,Reported: CDP (Reviewed),7.0,1021386 in CO2 mtons,179.88,Location-based,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.32,0.32,0.25,0.28,0.31,0.32,,,,,,0.0,179.88376499999998,687150.0,1021386.0,1708536.0,0,0,0,0,0,0,1,0,0,0,0
1812,OCI N.V.,Yes,Netherlands,Materials,31/12/2016,0.0,1200000.0,Estimated: Gamma GLM,3.0,, NA ,0.0,0.0,Estimated: IEA National Grid Emissions Factor applied to Estimated SHEC.,4.0,,629.43,Location-based,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.32,0.32,0.25,0.28,0.31,0.32,nl0010558797,0.029406437999999997,0.022158285,0.019798112,0.031474607,0.049373434,629.4256491,1200000.0,0.0,1200000.0,0,0,0,0,0,0,0,1,0,0,0
1813,Koninklijke Philips NV,Yes,Netherlands,Health Care,31/12/2016,228412.0,0.0,Reported: CDP (Reviewed),7.0,"204,377.00",  ,487538.0,0.0,Reported: CDP (Reviewed),7.0,"As per the updated Greenhouse Gas Protocol-  Scope 2 reporting guidance, from 2015 onward our scope 2 emissions reporting includes both the market-based method and the location-based method. The market-based method of reporting will serve as our referencefor calculating our total operational carbon footprint.",15.95,Market-based,81,84,112,138,50,90,84,88,101,128,91,101,83,129,83,57,114,57,106,100,163,127,65,94,173,116,"1,611",32,38,14,28,0.2,0.3,0.2,0.28,0.28,0.11,nl0000009538,0.015262253,0.011078136,0.014617703999999999,0.014305076000000002,0.45639097700000003,15.94940431,228412.0,487538.0,715950.0,0,0,0,0,1,0,0,0,0,0,0
1814,PostNL,Yes,Netherlands,Industrials,31/12/2016,43396.0,0.0,Reported: CDP (Reviewed),7.0,"44,034.00",  ,44034.0,0.0,Reported: CDP (Reviewed),7.0,,23.14,Market-based,61,95,263,114,117,144,105,134,113,129,94,99,139,73,59,114,99,114,94,136,29,31,27,105,292,61,0,60,309,632,367,0.29,0.08,0.01,0.0,0.01,0.05,nl0009739416,0.022771447,0.014496248,0.02393738,0.026072791,0.09473684199999999,23.1442019,43396.0,44034.0,87430.0,0,0,0,0,0,1,0,0,0,0,0
1815,Qiagen Nv,Yes,Netherlands,Health Care,31/12/2016,0.0,7800.0,Estimated: Gamma GLM,5.0,, NA ,0.0,34000.0,Estimated: IEA National Grid Emissions Factor applied to Estimated SHEC.,5.0,,31.24,Location-based,135,8,81,118,62,100,106,81,96,83,102,103,87,106,71,65,113,65,101,88,53,201,184,93,84,179,275,55,22,78,57,0.25,0.27,0.24,0.13,0.2,0.14,nl0000240000,0.01904839,0.0110194,0.013355253000000001,0.009400447,0.6298245610000001,31.24089119,7800.0,34000.0,41800.0,0,0,0,0,1,0,0,0,0,0,0
1816,Royal Dutch Shell,Yes,Netherlands,Energy,31/12/2016,70000000.0,0.0,Reported: CDP (Reviewed),7.0,"11,000,000.00",  ,11000000.0,0.0,Reported: CDP (Reviewed),7.0,We calculated our scope 2 emissions from imported electricity and steam/heat using both approaches. The difference between two methods for 2016 was immaterial (~2%).,346.76,Market-based,112,174,93,107,207,122,75,155,133,122,115,117,87,116,90,76,120,76,122,112,83,59,17,116,68,71,0,190,60,43,100,0.17,0.22,0.15,0.2,0.11,0.08,gb00b03mlx29,0.020092361,0.008981466,0.013220513,0.012189663,0.5385964910000001,346.7599351,70000000.0,11000000.0,81000000.0,0,0,1,0,0,0,0,0,0,0,0
1817,Reed Elsevier NV,Yes,Netherlands,Industrials,31/12/2016,7966.0,0.0,Reported: Company Filings (Reviewed),7.0,, NA ,0.0,76000.0,Estimated: IEA National Grid Emissions Factor applied to Estimated SHEC.,5.0,,8.98,Location-based,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.32,0.32,0.25,0.28,0.31,0.32,nl0006144495,0.013656615,0.007367169,,,0.0,8.984741165,7966.0,76000.0,83966.0,0,0,0,0,0,1,0,0,0,0,0
1818,SBM Offshore,Yes,Netherlands,Energy,31/12/2016,6248047.0,0.0,Reported: CDP (Not Reviewed),,"3,582.00",  ,3582.0,0.0,Reported: CDP (Not Reviewed),,,2751.6,Market-based,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.32,0.32,0.25,0.28,0.31,0.32,nl0000360618,0.026214954,0.016473298,0.023510681000000002,0.01955952,0.23809523800000001,2751.597271,6248047.0,3582.0,6251629.0,0,0,1,0,0,0,0,0,0,0,0
1819,Smurfit Kappa Group PLC,Yes,Netherlands,Materials,31/12/2016,2683000.0,0.0,Reported: CDP (Reviewed),7.0,, NA ,690900.0,0.0,Reported: CDP (Reviewed),7.0,,373.61,Location-based,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.32,0.32,0.25,0.28,0.31,0.32,ie00b1rr8406,0.021803042999999998,0.015602976000000001,0.022833462000000002,0.02765503,0.076190476,373.60544369999997,2683000.0,690900.0,3373900.0,0,0,0,0,0,0,0,1,0,0,0
1820,Sensata Technologies Holding NV,Yes,Netherlands,Industrials,31/12/2016,2061.6,0.0,Reported: CDP (Reviewed),7.0,, NA ,123844.5,0.0,Reported: CDP (Reviewed),7.0,,39.32,Location-based,80,107,34,173,77,116,51,62,98,81,105,132,52,97,81,64,111,64,144,74,51,0,67,118,146,103,0,75,30,21,43,0.21,0.27,0.21,0.25,0.24,0.19,nl0009324904,0.019824991,0.012986464,0.016907248,0.013469561000000001,0.48746867200000005,39.31751965,2061.6,123844.5,125906.1,0,0,0,0,0,1,0,0,0,0,0
1821,Telegraaf Media Groep,Yes,Netherlands,Consumer Discretionary,31/12/2016,6200.0,0.0,Reported: CDP (Not Reviewed),, -   , -   ,10439.0,0.0,Reported: CDP (Not Reviewed),,"TMG aims for sustainable electricity through means of the purchase of Certificates of Origin (CoOs) issued by CertiQ, which was created by the government for the purpose of certifying sustainable energy. In 2016, 100% of the total electricity consumed was certified sustainable.",13.33,Market-based,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.32,0.32,0.25,0.28,0.31,0.32,0,,,,,0.0,13.32530949,6200.0,10439.0,16639.0,1,0,0,0,0,0,0,0,0,0,0
1822,Unilever Nv Cva,Yes,Netherlands,Consumer Staples,31/12/2016,840633.0,0.0,Reported: Company Filings (Reviewed),7.0,, NA ,0.0,2700000.0,Estimated: IEA National Grid Emissions Factor applied to Estimated SHEC.,4.0,,60.68,Location-based,92,236,110,145,64,112,62,83,97,96,125,102,86,131,59,63,121,63,101,107,29,254,136,87,109,66,348,20,144,121,91,0.29,0.28,0.06,0.08,0.12,0.09,nl0000009355,0.013008025,0.011957212,0.009896168,0.009707301,0.6190476189999999,60.68495921,840633.0,2700000.0,3540633.0,0,1,0,0,0,0,0,0,0,0,0
1823,Vimetco NV,Yes,Netherlands,Materials,31/12/2016,0.0,7800000.0,Estimated: Gamma GLM,1.0,, NA ,0.0,1300000.0,Estimated: IEA National Grid Emissions Factor applied to Estimated SHEC.,1.0,,3327.84,Location-based,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.32,0.32,0.25,0.28,0.31,0.32,us92718p2039,0.016743799,,,,0.0,3327.8357,7800000.0,1300000.0,9100000.0,0,0,0,0,0,0,0,1,0,0,0
1824,Van Lanschot Kempen NV,Yes,Netherlands,Financials,31/12/2016,3299.0,0.0,Reported: CDP (Not Reviewed),,140,  ,1400.0,0.0,Reported: CDP (Not Reviewed),,,4.5,Market-based,44,66,113,100,40,132,33,83,104,99,76,139,77,90,82,71,83,71,100,188,24,0,51,139,39,83,0,0,0,0,0,0.21,0.24,0.25,0.28,0.31,0.01,nl0000302636,0.018469181,0.014016588,0.014586456000000001,0.014414024,0.451378446,4.499247727,3299.0,1400.0,4699.0,0,0,0,1,0,0,0,0,0,0,0
1825,Vopak,Yes,Netherlands,Energy,31/12/2016,186000.0,0.0,Reported: CDP (Reviewed),7.0,"248,000.00",  ,248000.0,0.0,Reported: CDP (Reviewed),7.0,,291.12,Market-based,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.32,0.32,0.25,0.28,0.31,0.32,nl0009432491,0.018295495,0.014144212,0.016897678,0.011661261000000001,0.5586466170000001,291.1208151,186000.0,248000.0,434000.0,0,0,1,0,0,0,0,0,0,0,0
1826,Royal Wessanen NV,Yes,Netherlands,Consumer Staples,31/12/2016,6649.3,0.0,Reported: CDP (Not Reviewed),,, NA ,228.6,0.0,Reported: CDP (Not Reviewed),,,10.9,Location-based,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.32,0.32,0.25,0.28,0.31,0.32,nl0000395317,0.020639118,0.013800558000000001,0.030350444,0.040431977,0.020551378000000002,10.90190049,6649.3,228.6,6877.900000000001,0,1,0,0,0,0,0,0,0,0,0
1827,Wereldhave,Yes,Netherlands,Real Estate,31/12/2016,2548.0,0.0,Reported: CDP (Not Reviewed),,"10,960.00",  ,0.0,0.0,,,Scope 2 emissions include the electricity/heating/cooling for common areas and tenant areas where Wereldhave is responsible for procuring and managing the utilities for shopping centers and the office portfolio.,45.52,Market-based,66,239,185,89,77,114,36,92,131,74,156,92,114,127,86,136,125,136,96,207,89,145,41,81,39,47,0,31,146,131,106,0.19,0.04,0.06,0.07,0.1,0.01,nl0000289213,0.015449153,0.008754471,0.014955825,0.020286228,0.21578947399999998,45.52440011,2548.0,0.0,2548.0,0,0,0,0,0,0,0,0,1,0,0
1828,Wolters Kluwer,Yes,Netherlands,Industrials,31/12/2016,7566.0,0.0,Reported: CDP (Reviewed),7.0,, NA ,23960.0,0.0,Reported: CDP (Reviewed),7.0,"Energy use is based on electricity, natural gas, heating oil, and district heating. Based on the effort of outsourcing our data centers,electricity consumption has decreased in Europe and in Australia. The consolidation of offices in the Netherlands, France and the UnitedStates has reduced total energy consumption by reducing office space. The percentage of renewable energy shows actual reported data thatis not extrapolated for non-reporting offices. The use of new conversion factors has adjusted the total GHG emissions in 2015. (SR 2016, p. 37)",6.63,Location-based,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.32,0.32,0.25,0.28,0.31,0.32,nl0000395903,0.013922473999999999,0.008454873,0.011654505,0.009649231999999999,0.621303258,6.628595938999999,7566.0,23960.0,31526.0,0,0,0,0,0,1,0,0,0,0,0
1829,Auckland International Airport,Yes,New Zealand,Industrials,30/06/2016,2115.9,0.0,Reported: CDP (Reviewed),7.0,, NA ,4282.05,0.0,Reported: CDP (Reviewed),7.0,We are single site operation with supply from a national grid that delivers approximately 80% renewable electricity.,17.47,Location-based,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.32,0.32,0.25,0.28,0.31,0.32,nzaiae0002s6,0.018161268,0.011897946000000001,0.01302406,0.012823818999999998,0.511278195,17.46642097,2115.9,4282.05,6397.950000000001,0,0,0,0,0,1,0,0,0,0,0
1830,Air New Zealand,Yes,New Zealand,Industrials,28/06/2017,3308949.95,0.0,Reported: Company Filings (Reviewed),7.0,, NA ,0.0,14000.0,Estimated: IEA National Grid Emissions Factor applied to Estimated SHEC.,5.0,,912.84,Location-based,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.32,0.32,0.25,0.28,0.31,0.32,nzaire0001s2,0.019858236,0.01588083,0.014497715,0.023535692999999996,0.13659147900000002,912.8431662999999,3308949.95,14000.0,3322949.95,0,0,0,0,0,1,0,0,0,0,0
1831,Contact Energy,Yes,New Zealand,Utilities,29/06/2017,1168550.05,0.0,Reported: Company Filings (Reviewed),7.0,, NA ,0.0,4300.0,Estimated: IEA National Grid Emissions Factor applied to Estimated SHEC.,4.0,,794.82,Location-based,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.32,0.32,0.25,0.28,0.31,0.32,nzcene0001s6,,,,,0.0,794.8238687999999,1168550.05,4300.0,1172850.05,0,0,0,0,0,0,0,0,0,0,1
1832,Chorus,Yes,New Zealand,Telecommunication Services,30/06/2016,1338.0,0.0,Reported: CDP (Not Reviewed),,, NA ,7879.0,0.0,Reported: CDP (Not Reviewed),,,13.68,Location-based,68,92,62,74,118,99,52,89,67,48,122,83,71,91,86,80,104,80,80,57,308,75,111,72,115,150,0,72,0,203,107,0.19,0.21,0.25,0.03,0.1,0.26,nzcnue0001s2,0.016837865,0.014277153999999998,0.012841711,0.013642671,0.479197995,13.67974235,1338.0,7879.0,9217.0,0,0,0,0,0,0,0,0,0,1,0
1833,Fletcher Building,Yes,New Zealand,Materials,31/12/2016,1069224.0,0.0,Reported: CDP (Reviewed),7.0,, NA ,356343.0,0.0,Reported: CDP (Reviewed),7.0,,212.87,Location-based,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.32,0.32,0.25,0.28,0.31,0.32,nzfbue0001s0,0.017687941999999998,0.017063563,0.018777688,0.015316555,0.416290727,212.86968599999997,1069224.0,356343.0,1425567.0,0,0,0,0,0,0,0,1,0,0,0
1834,Fisher & Paykel Healthcare Corporation,Yes,New Zealand,Health Care,31/03/2017,1315.13,0.0,Reported: CDP (Not Reviewed),,, NA ,7892.83,0.0,Reported: CDP (Not Reviewed),,,14.52,Location-based,82,100,76,93,61,92,84,81,78,102,101,88,99,61,114,109,78,109,81,36,203,0,0,77,30,57,840,0,34,25,20,0.07,0.09,0.21,0.24,0.29,0.31,nzfape0001s2,0.016981489,0.013507201000000002,0.016096962,0.017050634,0.335087719,14.51970292,1315.13,7892.83,9207.96,0,0,0,0,1,0,0,0,0,0,0
1835,Fonterra Co-operative Group,Yes,New Zealand,Consumer Staples,31/07/2016,1388701.0,0.0,Reported: CDP (Not Reviewed),,, NA ,573675.0,0.0,Reported: CDP (Not Reviewed),,,169.69,Location-based,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.32,0.32,0.25,0.28,0.31,0.32,nzfsfe0001s5,0.011006479,0.007642586999999999,0.01034053,0.015585373000000001,0.40100250600000004,169.6921482,1388701.0,573675.0,1962376.0,0,1,0,0,0,0,0,0,0,0,0
1836,Infratil,Yes,New Zealand,Utilities,30/03/2017,0.0,510000.0,"Estimated: Gamma GLM, Gas Generation",6.0,, NA ,0.0,27000.0,"Estimated: Gamma GLM, Gas Generation",6.0,,404.75,Location-based,162,79,70,51,55,96,55,97,76,67,90,83,76,63,88,89,117,89,118,148,508,0,155,85,34,61,18,316,20,28,120,0.18,0.17,0.24,0.24,0.08,0.03,nzifte0003s3,0.013216931999999999,0.009394655,0.010015948,0.010402782,0.598746867,404.7484454,510000.0,27000.0,537000.0,0,0,0,0,0,0,0,0,0,0,1
1837,Kathmandu Holdings,Yes,New Zealand,Consumer Discretionary,31/07/2016,0.0,0.0,Reported: CDP (Not Reviewed),, -   , -   ,7387.3,0.0,Reported: CDP (Not Reviewed),,The 0t CO2-e reported as ‘market-based’ emissions relate to 87.185 MWh purchased through the GreenPower product described in CC8.3 above.,0.0,Market-based,122,14,74,106,50,114,104,73,84,73,122,102,58,113,60,79,106,79,111,84,220,0,238,98,33,28,0,0,115,0,34,0.29,0.21,0.08,0.28,0.26,0.15,,,,,,0.0,0.0,0.0,7387.3,7387.3,1,0,0,0,0,0,0,0,0,0,0
1838,Kiwi Property Group,Yes,New Zealand,Real Estate,31/12/2016,1266.0,0.0,Reported: CDP (Not Reviewed),, -   , -   ,1921.0,0.0,Reported: CDP (Not Reviewed),,"In 2016 the two sources of electricity market based are:  photovoltaic panels producing 448,393 kwh of solar power at an emission factor of zero – saving 40tCO2e.  Electricity purchased from Ecotricity a provider of 100% renewable electricity and the electricity and organization are certified carbon neutral to the carboNZero standard.  Kiwi Property contracted Ecotricity to supply one building with 100% renewable power at a zero emission factor.  The amount supplied was 1,700,585 kwh multiplied by zero saving 153 tCO2e.",7.45,Market-based,48,0,0,134,96,135,122,94,172,108,124,121,69,117,23,61,101,61,67,105,14,0,374,117,54,46,0,140,83,60,96,0.32,0.28,0.12,0.16,0.12,0.09,nzkipe0001s5,,,,,0.0,7.4505649720000005,1266.0,1921.0,3187.0,0,0,0,0,0,0,0,0,1,0,0
